3/04/2024,2:17:33 PM
Software,STS IL/PDL,IL,Normal,1.3.3.0
TSL,SANTEC,TSL-570,23020004,0022.0017.0009
PowerMeter,SANTEC,MPM-210H,23020023,Ver.1.19
,Module0,MPM-211,23020025M211,Ver.1.22
Power Monitor,DAQ
Start,1600,nm
Stop,1680,nm
Step,0.01,nm
Speed,20,nm/s
Source Power,10,dBm
Averaging Time,0.5,msec
Power meter range,23020025M211,(Ch1),-30～+10dBm,-40～ 0dBm
--HEADER END--
--DATA START--
Wavelength(nm),IL_M1_S0_CH1
1602.66,-0.12503
1602.67,-0.12506
1602.68,-0.12504
1602.69,-0.12576
1602.7,-0.12556
1602.71,-0.12572
1602.72,-0.12542
1602.73,-0.12553
1602.74,-0.12544
1602.75,-0.12513
1602.76,-0.12557
1602.77,-0.1256
1602.78,-0.12544
1602.79,-0.12522
1602.8,-0.12569
1602.81,-0.12518
1602.82,-0.12618
1602.83,-0.1259
1602.84,-0.12532
1602.85,-0.12566
1602.86,-0.12565
1602.87,-0.12558
1602.88,-0.12565
1602.89,-0.12619
1602.9,-0.12597
1602.91,-0.12609
1602.92,-0.1263
1602.93,-0.12642
1602.94,-0.12618
1602.95,-0.12649
1602.96,-0.12602
1602.97,-0.12639
1602.98,-0.12644
1602.99,-0.12629
1603,-0.12583
1603.01,-0.12616
1603.02,-0.12613
1603.03,-0.12707
1603.04,-0.12692
1603.05,-0.12676
1603.06,-0.12676
1603.07,-0.12677
1603.08,-0.12619
1603.09,-0.12639
1603.1,-0.12712
1603.11,-0.12654
1603.12,-0.12621
1603.13,-0.12719
1603.14,-0.12705
1603.15,-0.12727
1603.16,-0.127
1603.17,-0.12678
1603.18,-0.12696
1603.19,-0.12672
1603.2,-0.12654
1603.21,-0.12695
1603.22,-0.12685
1603.23,-0.12717
1603.24,-0.12664
1603.25,-0.12727
1603.26,-0.12724
1603.27,-0.12698
1603.28,-0.12731
1603.29,-0.12688
1603.3,-0.12708
1603.31,-0.12635
1603.32,-0.12695
1603.33,-0.12698
1603.34,-0.12732
1603.35,-0.12684
1603.36,-0.12741
1603.37,-0.12706
1603.38,-0.12708
1603.39,-0.12743
1603.4,-0.12674
1603.41,-0.12711
1603.42,-0.12663
1603.43,-0.12659
1603.44,-0.12729
1603.45,-0.12766
1603.46,-0.12587
1603.47,-0.12707
1603.48,-0.12694
1603.49,-0.12745
1603.5,-0.12689
1603.51,-0.12677
1603.52,-0.12645
1603.53,-0.12679
1603.54,-0.12652
1603.55,-0.1262
1603.56,-0.12661
1603.57,-0.12661
1603.58,-0.12659
1603.59,-0.12696
1603.6,-0.12669
1603.61,-0.12653
1603.62,-0.12639
1603.63,-0.12625
1603.64,-0.12588
1603.65,-0.12622
1603.66,-0.12633
1603.67,-0.12642
1603.68,-0.12534
1603.69,-0.12652
1603.7,-0.12636
1603.71,-0.12651
1603.72,-0.12642
1603.73,-0.12525
1603.74,-0.12627
1603.75,-0.12536
1603.76,-0.12609
1603.77,-0.12512
1603.78,-0.12604
1603.79,-0.12576
1603.8,-0.12611
1603.81,-0.12574
1603.82,-0.12602
1603.83,-0.12574
1603.84,-0.12593
1603.85,-0.1255
1603.86,-0.1254
1603.87,-0.12521
1603.88,-0.12572
1603.89,-0.1258
1603.9,-0.12559
1603.91,-0.12611
1603.92,-0.12537
1603.93,-0.12584
1603.94,-0.12579
1603.95,-0.126
1603.96,-0.12613
1603.97,-0.1254
1603.98,-0.12582
1603.99,-0.12547
1604,-0.12576
1604.01,-0.1254
1604.02,-0.12604
1604.03,-0.12589
1604.04,-0.12631
1604.05,-0.12584
1604.06,-0.12567
1604.07,-0.12604
1604.08,-0.12619
1604.09,-0.12569
1604.1,-0.126
1604.11,-0.12591
1604.12,-0.12602
1604.13,-0.12631
1604.14,-0.12656
1604.15,-0.12631
1604.16,-0.12624
1604.17,-0.1262
1604.18,-0.12613
1604.19,-0.12578
1604.2,-0.12593
1604.21,-0.12587
1604.22,-0.12593
1604.23,-0.12557
1604.24,-0.12642
1604.25,-0.12667
1604.26,-0.12588
1604.27,-0.12668
1604.28,-0.1265
1604.29,-0.12683
1604.3,-0.12597
1604.31,-0.12662
1604.32,-0.12649
1604.33,-0.12676
1604.34,-0.12644
1604.35,-0.12636
1604.36,-0.1269
1604.37,-0.12684
1604.38,-0.12695
1604.39,-0.12698
1604.4,-0.12645
1604.41,-0.12653
1604.42,-0.12647
1604.43,-0.12651
1604.44,-0.12623
1604.45,-0.12635
1604.46,-0.1269
1604.47,-0.12655
1604.48,-0.12623
1604.49,-0.12688
1604.5,-0.12685
1604.51,-0.12692
1604.52,-0.12697
1604.53,-0.12682
1604.54,-0.12661
1604.55,-0.12658
1604.56,-0.12667
1604.57,-0.1266
1604.58,-0.12692
1604.59,-0.12668
1604.6,-0.12714
1604.61,-0.1266
1604.62,-0.12664
1604.63,-0.12574
1604.64,-0.12698
1604.65,-0.12604
1604.66,-0.12624
1604.67,-0.12686
1604.68,-0.12661
1604.69,-0.12669
1604.7,-0.12712
1604.71,-0.12777
1604.72,-0.12691
1604.73,-0.12743
1604.74,-0.12665
1604.75,-0.12675
1604.76,-0.12674
1604.77,-0.12679
1604.78,-0.12649
1604.79,-0.12692
1604.8,-0.12664
1604.81,-0.12715
1604.82,-0.12694
1604.83,-0.12737
1604.84,-0.12731
1604.85,-0.12757
1604.86,-0.12663
1604.87,-0.1274
1604.88,-0.12699
1604.89,-0.12738
1604.9,-0.12693
1604.91,-0.12695
1604.92,-0.12733
1604.93,-0.12717
1604.94,-0.12815
1604.95,-0.12748
1604.96,-0.12789
1604.97,-0.12713
1604.98,-0.12712
1604.99,-0.12735
1605,-0.12761
1605.01,-0.12739
1605.02,-0.12768
1605.03,-0.12764
1605.04,-0.12774
1605.05,-0.12785
1605.06,-0.12818
1605.07,-0.12828
1605.08,-0.12731
1605.09,-0.12721
1605.1,-0.12746
1605.11,-0.12742
1605.12,-0.12742
1605.13,-0.12763
1605.14,-0.12794
1605.15,-0.12769
1605.16,-0.12784
1605.17,-0.12768
1605.18,-0.12777
1605.19,-0.12778
1605.2,-0.12758
1605.21,-0.12696
1605.22,-0.12838
1605.23,-0.12649
1605.24,-0.12806
1605.25,-0.12739
1605.26,-0.12757
1605.27,-0.12795
1605.28,-0.12771
1605.29,-0.12752
1605.3,-0.12782
1605.31,-0.12744
1605.32,-0.12681
1605.33,-0.12677
1605.34,-0.12729
1605.35,-0.12726
1605.36,-0.12748
1605.37,-0.12692
1605.38,-0.12764
1605.39,-0.12772
1605.4,-0.12723
1605.41,-0.1274
1605.42,-0.12637
1605.43,-0.12708
1605.44,-0.12621
1605.45,-0.12648
1605.46,-0.1267
1605.47,-0.12799
1605.48,-0.12645
1605.49,-0.12688
1605.5,-0.12713
1605.51,-0.12712
1605.52,-0.12704
1605.53,-0.1269
1605.54,-0.12674
1605.55,-0.12658
1605.56,-0.12643
1605.57,-0.12658
1605.58,-0.12685
1605.59,-0.1267
1605.6,-0.12688
1605.61,-0.12724
1605.62,-0.12716
1605.63,-0.12675
1605.64,-0.12644
1605.65,-0.12624
1605.66,-0.12672
1605.67,-0.12563
1605.68,-0.12663
1605.69,-0.12616
1605.7,-0.12669
1605.71,-0.12664
1605.72,-0.12678
1605.73,-0.12697
1605.74,-0.12734
1605.75,-0.12682
1605.76,-0.12658
1605.77,-0.12603
1605.78,-0.12665
1605.79,-0.12636
1605.8,-0.12657
1605.81,-0.12691
1605.82,-0.12697
1605.83,-0.12721
1605.84,-0.12695
1605.85,-0.12687
1605.86,-0.12716
1605.87,-0.1269
1605.88,-0.1267
1605.89,-0.12675
1605.9,-0.12699
1605.91,-0.12663
1605.92,-0.12665
1605.93,-0.12736
1605.94,-0.12726
1605.95,-0.12797
1605.96,-0.12754
1605.97,-0.12763
1605.98,-0.12697
1605.99,-0.12693
1606,-0.1282
1606.01,-0.12771
1606.02,-0.12801
1606.03,-0.12779
1606.04,-0.1282
1606.05,-0.12823
1606.06,-0.12837
1606.07,-0.1283
1606.08,-0.1286
1606.09,-0.12831
1606.1,-0.12825
1606.11,-0.12807
1606.12,-0.12827
1606.13,-0.12852
1606.14,-0.12851
1606.15,-0.12895
1606.16,-0.12914
1606.17,-0.12949
1606.18,-0.12881
1606.19,-0.12913
1606.2,-0.12956
1606.21,-0.12848
1606.22,-0.12921
1606.23,-0.12895
1606.24,-0.12947
1606.25,-0.12908
1606.26,-0.12965
1606.27,-0.13012
1606.28,-0.1295
1606.29,-0.13041
1606.3,-0.12989
1606.31,-0.12922
1606.32,-0.12975
1606.33,-0.12965
1606.34,-0.12996
1606.35,-0.12954
1606.36,-0.12982
1606.37,-0.1299
1606.38,-0.13023
1606.39,-0.13039
1606.4,-0.13015
1606.41,-0.12993
1606.42,-0.12941
1606.43,-0.12929
1606.44,-0.12953
1606.45,-0.1296
1606.46,-0.12984
1606.47,-0.12936
1606.48,-0.1298
1606.49,-0.12993
1606.5,-0.12996
1606.51,-0.12989
1606.52,-0.13003
1606.53,-0.12951
1606.54,-0.12977
1606.55,-0.12934
1606.56,-0.12938
1606.57,-0.12992
1606.58,-0.12985
1606.59,-0.12951
1606.6,-0.12942
1606.61,-0.12932
1606.62,-0.12925
1606.63,-0.12914
1606.64,-0.12884
1606.65,-0.12888
1606.66,-0.1289
1606.67,-0.12836
1606.68,-0.12871
1606.69,-0.12891
1606.7,-0.1289
1606.71,-0.1283
1606.72,-0.1289
1606.73,-0.12888
1606.74,-0.12887
1606.75,-0.12857
1606.76,-0.1283
1606.77,-0.12811
1606.78,-0.12796
1606.79,-0.12812
1606.8,-0.12771
1606.81,-0.12835
1606.82,-0.12813
1606.83,-0.12826
1606.84,-0.12791
1606.85,-0.12799
1606.86,-0.12771
1606.87,-0.12755
1606.88,-0.12697
1606.89,-0.12702
1606.9,-0.12743
1606.91,-0.12757
1606.92,-0.12745
1606.93,-0.127
1606.94,-0.12776
1606.95,-0.12767
1606.96,-0.1276
1606.97,-0.12757
1606.98,-0.12695
1606.99,-0.12697
1607,-0.12659
1607.01,-0.1266
1607.02,-0.12713
1607.03,-0.12691
1607.04,-0.12712
1607.05,-0.12718
1607.06,-0.12679
1607.07,-0.12753
1607.08,-0.12678
1607.09,-0.1275
1607.1,-0.12696
1607.11,-0.12712
1607.12,-0.12651
1607.13,-0.12728
1607.14,-0.12724
1607.15,-0.12722
1607.16,-0.12706
1607.17,-0.12729
1607.18,-0.12773
1607.19,-0.12769
1607.2,-0.12782
1607.21,-0.12697
1607.22,-0.12741
1607.23,-0.12764
1607.24,-0.12759
1607.25,-0.1277
1607.26,-0.12759
1607.27,-0.12823
1607.28,-0.12835
1607.29,-0.1283
1607.3,-0.12785
1607.31,-0.12796
1607.32,-0.12762
1607.33,-0.12787
1607.34,-0.12795
1607.35,-0.12801
1607.36,-0.12827
1607.37,-0.12811
1607.38,-0.1282
1607.39,-0.12865
1607.4,-0.12894
1607.41,-0.12842
1607.42,-0.12902
1607.43,-0.12874
1607.44,-0.12854
1607.45,-0.12857
1607.46,-0.129
1607.47,-0.12826
1607.48,-0.1297
1607.49,-0.12913
1607.5,-0.12882
1607.51,-0.12987
1607.52,-0.12939
1607.53,-0.12949
1607.54,-0.12908
1607.55,-0.12928
1607.56,-0.12925
1607.57,-0.12904
1607.58,-0.12959
1607.59,-0.12962
1607.6,-0.12946
1607.61,-0.12988
1607.62,-0.12932
1607.63,-0.1297
1607.64,-0.13006
1607.65,-0.12946
1607.66,-0.12928
1607.67,-0.12977
1607.68,-0.12923
1607.69,-0.1293
1607.7,-0.12958
1607.71,-0.13
1607.72,-0.12983
1607.73,-0.12979
1607.74,-0.12989
1607.75,-0.12999
1607.76,-0.13025
1607.77,-0.12931
1607.78,-0.12917
1607.79,-0.12945
1607.8,-0.12897
1607.81,-0.12964
1607.82,-0.12961
1607.83,-0.12993
1607.84,-0.12967
1607.85,-0.12935
1607.86,-0.12964
1607.87,-0.12971
1607.88,-0.12944
1607.89,-0.12896
1607.9,-0.12945
1607.91,-0.12889
1607.92,-0.12887
1607.93,-0.12897
1607.94,-0.12938
1607.95,-0.12898
1607.96,-0.12917
1607.97,-0.12909
