3/04/2024,2:59:04 PM
Software,STS IL/PDL,IL,Normal,1.3.3.0
TSL,SANTEC,TSL-570,23020004,0022.0017.0009
PowerMeter,SANTEC,MPM-210H,23020023,Ver.1.19
,Module0,MPM-211,23020025M211,Ver.1.22
Power Monitor,DAQ
Start,1600,nm
Stop,1680,nm
Step,0.01,nm
Speed,20,nm/s
Source Power,10,dBm
Averaging Time,0.5,msec
Power meter range,23020025M211,(Ch1),-30～+10dBm,-40～ 0dBm
--HEADER END--
--DATA START--
Wavelength(nm),IL_M1_S0_CH1
1600,-0.07749
1600.01,-0.07752
1600.02,-0.07772
1600.03,-0.07783
1600.04,-0.07768
1600.05,-0.07722
1600.06,-0.07757
1600.07,-0.07714
1600.08,-0.0779
1600.09,-0.07677
1600.1,-0.0774
1600.11,-0.07794
1600.12,-0.07764
1600.13,-0.07777
1600.14,-0.07774
1600.15,-0.07808
1600.16,-0.07768
1600.17,-0.07732
1600.18,-0.07725
1600.19,-0.07778
1600.2,-0.07771
1600.21,-0.07758
1600.22,-0.07666
1600.23,-0.0785
1600.24,-0.07743
1600.25,-0.07842
1600.26,-0.07768
1600.27,-0.07824
1600.28,-0.07771
1600.29,-0.07748
1600.3,-0.07736
1600.31,-0.07798
1600.32,-0.07767
1600.33,-0.0781
1600.34,-0.0778
1600.35,-0.07815
1600.36,-0.07766
1600.37,-0.0772
1600.38,-0.0777
1600.39,-0.0776
1600.4,-0.07745
1600.41,-0.07743
1600.42,-0.07769
1600.43,-0.07766
1600.44,-0.07791
1600.45,-0.07738
1600.46,-0.07734
1600.47,-0.07758
1600.48,-0.07726
1600.49,-0.07744
1600.5,-0.07727
1600.51,-0.07699
1600.52,-0.07716
1600.53,-0.07676
1600.54,-0.0767
1600.55,-0.07719
1600.56,-0.07732
1600.57,-0.07686
1600.58,-0.07736
1600.59,-0.07763
1600.6,-0.07662
1600.61,-0.07688
1600.62,-0.07678
1600.63,-0.07619
1600.64,-0.07643
1600.65,-0.07662
1600.66,-0.07655
1600.67,-0.07677
1600.68,-0.07676
1600.69,-0.07657
1600.7,-0.07646
1600.71,-0.0772
1600.72,-0.0761
1600.73,-0.07642
1600.74,-0.07583
