3/04/2024,1:55:00 PM
Software,STS IL/PDL,IL,Normal,1.3.3.0
TSL,SANTEC,TSL-570,23020004,0022.0017.0009
PowerMeter,SANTEC,MPM-210H,23020023,Ver.1.19
,Module0,MPM-211,23020025M211,Ver.1.22
Power Monitor,DAQ
Start,1600,nm
Stop,1680,nm
Step,0.01,nm
Speed,20,nm/s
Source Power,10,dBm
Averaging Time,0.5,msec
Power meter range,23020025M211,(Ch1),-30～+10dBm,-40～ 0dBm
--HEADER END--
--DATA START--
Wavelength(nm),IL_M1_S0_CH1
1602.66,-0.12038
1602.67,-0.12026
1602.68,-0.12113
1602.69,-0.1214
1602.7,-0.12075
1602.71,-0.12107
1602.72,-0.12053
1602.73,-0.12105
1602.74,-0.12049
1602.75,-0.12063
1602.76,-0.12066
1602.77,-0.12017
1602.78,-0.12068
1602.79,-0.12066
1602.8,-0.12131
1602.81,-0.12083
1602.82,-0.12124
1602.83,-0.12089
1602.84,-0.12062
1602.85,-0.12028
1602.86,-0.12062
1602.87,-0.12012
1602.88,-0.12066
1602.89,-0.1212
1602.9,-0.12063
1602.91,-0.12055
1602.92,-0.12115
1602.93,-0.12081
1602.94,-0.12074
1602.95,-0.12031
1602.96,-0.12034
1602.97,-0.12063
1602.98,-0.11982
1602.99,-0.12043
1603,-0.12037
1603.01,-0.12073
1603.02,-0.12033
1603.03,-0.12095
1603.04,-0.12029
1603.05,-0.12039
1603.06,-0.12001
1603.07,-0.12007
1603.08,-0.11992
1603.09,-0.11939
1603.1,-0.1203
1603.11,-0.12033
1603.12,-0.11999
1603.13,-0.1205
1603.14,-0.12026
1603.15,-0.12089
1603.16,-0.12029
1603.17,-0.11992
1603.18,-0.12026
1603.19,-0.11961
1603.2,-0.11992
1603.21,-0.11998
1603.22,-0.11982
1603.23,-0.11996
1603.24,-0.12001
1603.25,-0.12024
1603.26,-0.12051
1603.27,-0.12039
1603.28,-0.12049
1603.29,-0.11962
1603.3,-0.1199
1603.31,-0.11978
1603.32,-0.11974
1603.33,-0.11992
1603.34,-0.1207
1603.35,-0.12029
1603.36,-0.12046
1603.37,-0.11992
1603.38,-0.12002
1603.39,-0.12059
1603.4,-0.11969
1603.41,-0.12039
1603.42,-0.11965
1603.43,-0.11972
1603.44,-0.12044
1603.45,-0.12097
1603.46,-0.11912
1603.47,-0.12112
1603.48,-0.12116
1603.49,-0.121
1603.5,-0.1205
1603.51,-0.12083
1603.52,-0.12055
1603.53,-0.1201
1603.54,-0.11985
1603.55,-0.12001
1603.56,-0.12104
1603.57,-0.12062
1603.58,-0.12077
1603.59,-0.12121
1603.6,-0.12071
1603.61,-0.12067
1603.62,-0.12045
1603.63,-0.11999
1603.64,-0.11985
1603.65,-0.12077
1603.66,-0.1205
1603.67,-0.12058
1603.68,-0.12024
1603.69,-0.12109
1603.7,-0.12085
1603.71,-0.12151
1603.72,-0.12037
1603.73,-0.12035
1603.74,-0.1205
1603.75,-0.1203
1603.76,-0.12065
1603.77,-0.12
1603.78,-0.12085
1603.79,-0.12034
1603.8,-0.12084
1603.81,-0.12104
1603.82,-0.12095
1603.83,-0.12066
1603.84,-0.12092
1603.85,-0.12029
1603.86,-0.12037
1603.87,-0.11983
1603.88,-0.12059
1603.89,-0.12102
1603.9,-0.12089
1603.91,-0.12112
1603.92,-0.12069
1603.93,-0.12078
1603.94,-0.12078
1603.95,-0.12046
1603.96,-0.12088
1603.97,-0.12027
1603.98,-0.12092
1603.99,-0.12042
