3/04/2024,3:37:47 PM
Software,STS IL/PDL,IL,Normal,1.3.3.0
TSL,SANTEC,TSL-570,23020004,0022.0017.0009
PowerMeter,SANTEC,MPM-210H,23020023,Ver.1.19
,Module0,MPM-211,23020025M211,Ver.1.22
Power Monitor,DAQ
Start,1600,nm
Stop,1680,nm
Step,0.01,nm
Speed,20,nm/s
Source Power,10,dBm
Averaging Time,0.5,msec
Power meter range,23020025M211,(Ch1),-30～+10dBm,-40～ 0dBm
--HEADER END--
--DATA START--
Wavelength(nm),IL_M1_S0_CH1
1600,-0.08757
1600.01,-0.08773
1600.02,-0.08736
1600.03,-0.08818
1600.04,-0.08772
1600.05,-0.08672
1600.06,-0.08744
1600.07,-0.08696
1600.08,-0.08693
1600.09,-0.08727
1600.1,-0.08735
1600.11,-0.08799
1600.12,-0.08748
1600.13,-0.08745
1600.14,-0.08776
1600.15,-0.08731
1600.16,-0.08723
1600.17,-0.08735
1600.18,-0.08713
1600.19,-0.0873
1600.2,-0.08761
1600.21,-0.08725
1600.22,-0.087
1600.23,-0.08829
1600.24,-0.08769
1600.25,-0.0883
1600.26,-0.08738
1600.27,-0.08778
1600.28,-0.08727
1600.29,-0.08722
1600.3,-0.08761
1600.31,-0.08746
1600.32,-0.08808
1600.33,-0.08759
1600.34,-0.08799
1600.35,-0.08834
1600.36,-0.08771
1600.37,-0.08767
1600.38,-0.08738
1600.39,-0.0878
1600.4,-0.08717
1600.41,-0.08756
1600.42,-0.08804
1600.43,-0.0883
1600.44,-0.08814
1600.45,-0.08798
1600.46,-0.08848
1600.47,-0.08834
1600.48,-0.08839
1600.49,-0.08816
1600.5,-0.08776
1600.51,-0.0884
1600.52,-0.08847
1600.53,-0.08857
1600.54,-0.08813
1600.55,-0.0888
1600.56,-0.0888
1600.57,-0.08848
1600.58,-0.08867
1600.59,-0.08875
1600.6,-0.08876
1600.61,-0.08807
1600.62,-0.08847
1600.63,-0.08804
1600.64,-0.08867
1600.65,-0.08826
1600.66,-0.08907
1600.67,-0.08875
1600.68,-0.08942
1600.69,-0.08854
1600.7,-0.08857
1600.71,-0.08869
1600.72,-0.08842
1600.73,-0.08841
1600.74,-0.0878
