3/04/2024,3:10:54 PM
Software,STS IL/PDL,IL,Normal,1.3.3.0
TSL,SANTEC,TSL-570,23020004,0022.0017.0009
PowerMeter,SANTEC,MPM-210H,23020023,Ver.1.19
,Module0,MPM-211,23020025M211,Ver.1.22
Power Monitor,DAQ
Start,1600,nm
Stop,1680,nm
Step,0.01,nm
Speed,20,nm/s
Source Power,10,dBm
Averaging Time,0.5,msec
Power meter range,23020025M211,(Ch1),-30～+10dBm,-40～ 0dBm
--HEADER END--
--DATA START--
Wavelength(nm),IL_M1_S0_CH1
1600,-0.18715
1600.01,-0.18754
1600.02,-0.18713
1600.03,-0.1881
1600.04,-0.18697
1600.05,-0.18714
1600.06,-0.18781
1600.07,-0.18721
1600.08,-0.18736
1600.09,-0.18717
1600.1,-0.18749
1600.11,-0.18723
1600.12,-0.18709
1600.13,-0.18722
1600.14,-0.18758
1600.15,-0.18702
1600.16,-0.18746
1600.17,-0.18726
1600.18,-0.18746
1600.19,-0.18736
1600.2,-0.18747
1600.21,-0.18706
1600.22,-0.18753
1600.23,-0.18748
1600.24,-0.1872
1600.25,-0.18809
1600.26,-0.18687
1600.27,-0.1869
1600.28,-0.18739
1600.29,-0.18757
1600.3,-0.18744
1600.31,-0.18747
1600.32,-0.18744
1600.33,-0.18742
1600.34,-0.18747
1600.35,-0.18774
1600.36,-0.18678
1600.37,-0.18684
1600.38,-0.18745
1600.39,-0.18713
1600.4,-0.18739
1600.41,-0.18704
1600.42,-0.18762
1600.43,-0.18777
1600.44,-0.18719
1600.45,-0.18653
1600.46,-0.187
1600.47,-0.18715
1600.48,-0.18667
1600.49,-0.18711
1600.5,-0.18722
1600.51,-0.18707
1600.52,-0.18749
1600.53,-0.18703
1600.54,-0.18717
1600.55,-0.187
1600.56,-0.18751
1600.57,-0.18681
1600.58,-0.1868
1600.59,-0.18727
1600.6,-0.18726
1600.61,-0.18689
1600.62,-0.18726
1600.63,-0.18715
1600.64,-0.18669
1600.65,-0.18706
1600.66,-0.18701
1600.67,-0.18705
1600.68,-0.18687
1600.69,-0.18692
1600.7,-0.18683
1600.71,-0.18737
1600.72,-0.18644
1600.73,-0.18702
1600.74,-0.18626
