3/04/2024,2:39:49 PM
Software,STS IL/PDL,IL,Normal,1.3.3.0
TSL,SANTEC,TSL-570,23020004,0022.0017.0009
PowerMeter,SANTEC,MPM-210H,23020023,Ver.1.19
,Module0,MPM-211,23020025M211,Ver.1.22
Power Monitor,DAQ
Start,1600,nm
Stop,1680,nm
Step,0.01,nm
Speed,20,nm/s
Source Power,10,dBm
Averaging Time,0.5,msec
Power meter range,23020025M211,(Ch1),-30～+10dBm,-40～ 0dBm
--HEADER END--
--DATA START--
Wavelength(nm),IL_M1_S0_CH1
1602.66,-0.08643
1602.67,-0.08684
1602.68,-0.08615
1602.69,-0.08738
1602.7,-0.08647
1602.71,-0.08729
1602.72,-0.08696
1602.73,-0.08663
1602.74,-0.08735
1602.75,-0.08668
1602.76,-0.08687
1602.77,-0.08645
1602.78,-0.08681
1602.79,-0.08665
1602.8,-0.08712
1602.81,-0.08663
1602.82,-0.08715
1602.83,-0.08695
1602.84,-0.08648
1602.85,-0.08697
1602.86,-0.08721
1602.87,-0.08666
1602.88,-0.08716
1602.89,-0.08731
1602.9,-0.08681
1602.91,-0.08689
1602.92,-0.08718
1602.93,-0.08715
1602.94,-0.08666
1602.95,-0.08674
1602.96,-0.08661
1602.97,-0.08799
1602.98,-0.08534
1602.99,-0.08811
1603,-0.08659
1603.01,-0.08679
1603.02,-0.08652
1603.03,-0.08709
1603.04,-0.08713
1603.05,-0.08684
1603.06,-0.08712
1603.07,-0.087
1603.08,-0.08696
1603.09,-0.08681
1603.1,-0.08707
1603.11,-0.08706
1603.12,-0.08689
1603.13,-0.08726
1603.14,-0.08716
1603.15,-0.08718
1603.16,-0.08721
1603.17,-0.08681
1603.18,-0.08713
1603.19,-0.08652
1603.2,-0.08666
1603.21,-0.08755
1603.22,-0.08721
1603.23,-0.08686
1603.24,-0.08682
1603.25,-0.08709
1603.26,-0.08733
1603.27,-0.08651
1603.28,-0.08743
1603.29,-0.08685
1603.3,-0.08744
1603.31,-0.08664
1603.32,-0.08679
1603.33,-0.08716
1603.34,-0.08736
1603.35,-0.08676
1603.36,-0.08732
1603.37,-0.08691
1603.38,-0.08659
1603.39,-0.08709
1603.4,-0.08699
1603.41,-0.08696
1603.42,-0.08719
1603.43,-0.08718
1603.44,-0.08713
1603.45,-0.08761
1603.46,-0.08527
1603.47,-0.08763
1603.48,-0.08724
1603.49,-0.08713
1603.5,-0.08706
1603.51,-0.08705
1603.52,-0.08691
1603.53,-0.08687
1603.54,-0.08642
1603.55,-0.08687
1603.56,-0.08749
1603.57,-0.08677
1603.58,-0.08716
1603.59,-0.08656
1603.6,-0.08714
1603.61,-0.08674
1603.62,-0.0871
1603.63,-0.08706
1603.64,-0.08644
1603.65,-0.08702
1603.66,-0.08689
1603.67,-0.08681
1603.68,-0.087
1603.69,-0.08707
1603.7,-0.08702
1603.71,-0.08721
1603.72,-0.08706
1603.73,-0.08661
1603.74,-0.08724
1603.75,-0.0868
1603.76,-0.08719
1603.77,-0.08668
1603.78,-0.08712
1603.79,-0.08709
1603.8,-0.08711
1603.81,-0.08679
1603.82,-0.08715
1603.83,-0.0866
1603.84,-0.08686
1603.85,-0.08651
1603.86,-0.08654
1603.87,-0.08669
1603.88,-0.08672
1603.89,-0.08677
1603.9,-0.0867
1603.91,-0.08693
1603.92,-0.08656
1603.93,-0.0868
1603.94,-0.08655
1603.95,-0.08726
1603.96,-0.087
1603.97,-0.08691
1603.98,-0.08654
1603.99,-0.08697
1604,-0.08666
1604.01,-0.08708
